Neighborhood,Total Population,Population over 65 (%),Non-white Population (%),Hispanic Population (%),No High School Education (%),Unemployment (%),Median Income,Temperature,Public Open Space (%),Private Open Space (%),Impervious Surfaces (%),Total SVI Flags,2016 Canopy Cover (%)
Allston,4906.75,2.474904067,41.72163925,13.42357129,3.878344273,7.175923494,50752.5,92.10589496,0.01414428,0.05483862,0.262106996,3.25,0.117086487
Back Bay,2983.666667,14.18952922,18.1082647,9.158427364,2.434390629,3.915578051,107243,91.94655146,0.005975197,0.007799199,0.193858501,2.5,0.155486252
Beacon Hill,2355.5,11.21117207,10.82977646,6.064255829,2.026988975,2.723146461,107615,92.20682079,0.081024689,0.012243354,0.145342963,1,0.205747329
Brighton,4205.307692,11.23593113,28.44862517,11.56491011,7.382799688,4.791196169,75445.92308,91.00586639,0.043808325,0.078778382,0.229340896,1.307692308,0.256016589
Charlestown,3235.666667,10.22922728,20.76806161,12.09391249,8.914937673,2.873125273,109861.3333,91.97009542,0.038963984,0.040465363,0.289321671,1.166666667,0.115612147
Chinatown,5622,15.36819637,63.19815012,3.486303806,42.39674593,10.43833581,25280,92.80528811,0.00345864,0.005604957,0.196384817,8,0.068834354
Dorchester,4360.896552,10.88370186,71.99042452,18.91327323,19.31613863,9.783792981,54924.89655,91.60428122,0.035494475,0.100462641,0.237737192,3.75862069,0.210855624
Downtown,6315,15.04091116,30.80139817,6.08100174,10.28639063,8.172907731,102160.5,92.3456489,0.016596802,0.012847204,0.207242964,3,0.048826506
East Boston,3351.928571,8.588275532,34.70777986,52.85021351,28.68381429,5.44546199,60432.75,91.5187845,0.041823977,0.077242897,0.260907349,3.8125,0.084760468
Fenway,4138.875,4.521685518,35.16863968,10.84355663,6.182422542,11.63796708,39200.625,91.99746405,0.02111124,0.01481121,0.215172499,4.5,0.125517107
Harbor Islands,405,1.975308642,65.18518519,25.92592593,40.10152284,60.55555556,0,89.53668341,0.170060842,0.011055737,0.049415007,0,0.10634247
Hyde Park,4764.625,13.81024345,60.18786631,27.85381364,12.65545497,7.125475688,73605.28571,90.13810602,0.039658352,0.13036083,0.151027886,1,0.414619561
Jamaica Plain,3380.5,15.97561304,34.04368448,20.45279547,6.855337446,7.177355318,94490.36364,90.67376258,0.033150899,0.067091127,0.197077843,1.416666667,0.343494606
Longwood,5500,0.381818182,24.89090909,9.145454545,1.661129568,15.65620542,40446,91.75390182,0.021276549,0.063507427,0.261007282,7,0.16432907
Mattapan,4361.666667,11.71792981,85.04437766,18.6829198,15.38887237,14.68274153,51873.83333,90.89079764,0.082889391,0.09907559,0.187639623,4.166666667,0.342892261
Mission Hill,4275.5,11.43688151,48.90773471,22.21593661,16.55894679,9.637543102,39001.5,91.70775004,0.045885533,0.053358998,0.250353004,5.25,0.212933636
North End,2337.75,11.7650429,6.667968172,7.400216272,3.996273101,1.619958533,100606.25,91.83966551,0.027342771,0.005142778,0.158570006,1.5,0.068009634
Roslindale,3697.75,12.45786925,44.09341169,26.31566857,10.99286541,5.490646492,73421.5,90.59984302,0.037585803,0.123508013,0.192925416,0.75,0.325024084
Roxbury,3365.9375,10.01898766,80.77128851,30.72147895,25.43536596,12.87288722,30400.33333,91.64970645,0.049180866,0.102443845,0.229325682,5.6875,0.246295116
South Boston,3063.076923,7.860340025,21.52947719,11.24396364,10.06424286,6.001843346,97001.81818,91.86366711,0.034809382,0.051030143,0.261550805,2.07689,0.125435104
South End,3594.111111,14.22896457,39.9891461,13.10318843,12.34515681,6.321048023,85618.33333,93.22215473,0.017901399,0.023232763,0.246098692,2.666666667,0.182168614
West End,3235.5,15.18441197,27.28016509,15.91901531,4.760774052,4.21865863,97106.5,91.18698542,0.014849355,0.029685163,0.251465425,3,0.10567777
West Roxbury,4895.714286,19.34617644,24.87379852,9.452796069,7.924462571,4.776636469,90558.85714,89.97074325,0.075187026,0.124424917,0.15842372,1.142857143,0.408597238
